ཀ་ཀོ་ལའི,ཀ་ཀོ་ལ
གནམ་སར,གནམ་ས
གནའ་བའི,གནའ་བ
གནས་པའི,གནས་པ
གནས་པར,གནས་པ
གནས་པས,གནས་པ
གནོད་པའི,གནོད་པ
གནོད་པར,གནོད་པ
གནོད་པས,གནོད་པ
གནོན་པའི,གནོན་པ
མནན་པའི,མནན་པ
མནན་པར,མནན་པ
མནའ་མར,མནའ་མ
མནར་བའི,མནར་བ
མནལ་བའི,མནལ་བ
མནོས་པའི,མནོས་པ
རྣ་བའི,རྣ་བ
རྣ་བར,རྣ་བ
རྣ་བས,རྣ་བ
རྣ་རྩར,རྣ་རྩ
རྣམ་པའི,རྣམ་པ
རྣམ་པར,རྣམ་པ
རྣམ་པས,རྣམ་པ
རྣལ་མའི,རྣལ་མ
རྣལ་མར,རྣལ་མ
རྣལ་མས,རྣལ་མ
སྣ་ཐའི,སྣ་ཐ
སྣག་ཚའི,སྣག་ཚ
སྣག་ཚས,སྣག་ཚ
སྣང་བའི,སྣང་བ
སྣང་བར,སྣང་བ
སྣང་བས,སྣང་བ
སྣུམ་ཟས,སྣུམ་ཟ
སྣོན་པའི,སྣོན་པ
སྣོན་མར,སྣོན་མ
སྣོལ་བའི,སྣོལ་བ
བརྣན་པའི,བརྣན་པ
བསྣན་པའི,བསྣན་པ
བསྣན་པས,བསྣན་པ
བསྣམས་པའི,བསྣམས་པ
བསྣུབས་པའི,བསྣུབས་པ
བསྣོལ་བའི,བསྣོལ་བ
པ་ཏྲའི,པ་ཏྲ
པ་ཏྲར,པ་ཏྲ
པ་ཏྲས,པ་ཏྲ
པགས་པའི,པགས་པ
པགས་པར,པགས་པ
པགས་པས,པགས་པ
པད་མའི,པད་མ
པཎྚི་ཏའི,པཎྚི་ཏ
པར་མའི,པར་མ
དཔག་པའི,དཔག་པ
དཔག་པས,དཔག་པ
དཔགས་པའི,དཔགས་པ
དཔགས་པས,དཔགས་པ
དཔར་མའི,དཔར་མ
དཔུང་པའི,དཔུང་པ
དཔེ་ཆའི,དཔེ་ཆ
དཔེ་ཆར,དཔེ་ཆ
དཔེ་ཟླར,དཔེ་ཟླ
དཔྱངས་པའི,དཔྱངས་པ
དཔྱངས་པས,དཔྱངས་པ
དཔྱད་པའི,དཔྱད་པ
དཔྱད་པར,དཔྱད་པ
དཔྱད་པས,དཔྱད་པ
དཔྱིད་ཀའི,དཔྱིད་ཀ
དཔྱིད་ཀར,དཔྱིད་ཀ
དཔྱོད་པའི,དཔྱོད་པ
སྤང་བར,སྤང་བ
སྤང་བྱའི,སྤང་བྱ
སྤངས་པའི,སྤངས་པ
སྤངས་པར,སྤངས་པ
སྤངས་པས,སྤངས་པ
སྤར་བར,སྤར་བ
སྤུ་མས,སྤུ་མ
སྤུང་བས,སྤུང་བ
སྤུངས་པའི,སྤུངས་པ
སྤུངས་པས,སྤུངས་པ
སྤུན་ཟླའི,སྤུན་ཟླ
སྤུན་ཟླར,སྤུན་ཟླ
སྤུན་ཟླས,སྤུན་ཟླ
སྤུས་ཀར,སྤུས་ཀ
སྤེན་པས,སྤེན་པ
སྤེལ་བའི,སྤེལ་བ
སྤེལ་བར,སྤེལ་བ
སྤེལ་བས,སྤེལ་བ
སྤེལ་མའི,སྤེལ་མ
སྤེལ་མར,སྤེལ་མ
སྤེལ་མས,སྤེལ་མ
སྤོ་བའི,སྤོ་བ
སྤོང་བའི,སྤོང་བ
སྤོང་བར,སྤོང་བ
སྤོབས་པའི,སྤོབས་པ
སྤོབས་པས,སྤོབས་པ
སྤོས་པའི,སྤོས་པ
སྤྱད་པའི,སྤྱད་པ
སྤྱད་པས,སྤྱད་པ
སྤྱན་སྔར,སྤྱན་སྔ
སྤྱན་མའི,སྤྱན་མ
སྤྱི་པའི,སྤྱི་པ
སྤྱི་བའི,སྤྱི་བ
སྤྱུགས་པའི,སྤྱུགས་པ
སྤྱོད་པའི,སྤྱོད་པ
སྤྱོད་པར,སྤྱོད་པ
སྤྱོད་པས,སྤྱོད་པ
སྤྲད་པའི,སྤྲད་པ
སྤྲད་པར,སྤྲད་པ
སྤྲད་པས,སྤྲད་པ
སྤྲས་པའི,སྤྲས་པ
སྤྲས་པས,སྤྲས་པ
སྤྲིངས་པའི,སྤྲིངས་པ
སྤྲིངས་པར,སྤྲིངས་པ
སྤྲིན་པའི,སྤྲིན་པ
སྤྲིན་པར,སྤྲིན་པ
སྤྲིན་པས,སྤྲིན་པ
སྤྲུགས་པས,སྤྲུགས་པ
སྤྲུལ་པའི,སྤྲུལ་པ
སྤྲུལ་པར,སྤྲུལ་པ
སྤྲུལ་པས,སྤྲུལ་པ
སྤྲུལ་བའི,སྤྲུལ་བ
སྤྲོ་བའི,སྤྲོ་བ
སྤྲོ་བར,སྤྲོ་བ
སྤྲོ་བས,སྤྲོ་བ
སྤྲོད་པའི,སྤྲོད་པ
སྤྲོད་པར,སྤྲོད་པ
སྤྲོས་པའི,སྤྲོས་པ
སྤྲོས་པས,སྤྲོས་པ
ཕ་མའི,ཕ་མ
ཕ་མར,ཕ་མ
ཕ་མས,ཕ་མ
ཕག་པའི,ཕག་པ
ཕངས་པའི,ཕངས་པ
ཕན་པའི,ཕན་པ
ཕན་པར,ཕན་པ
ཕན་པས,ཕན་པ
ཕབ་པའི,ཕབ་པ
ཕབ་པར,ཕབ་པ
ཕབ་པས,ཕབ་པ
ཕབས་རྟའི,ཕབས་རྟ
ཕམ་ཁའི,ཕམ་ཁ
ཕམ་པའི,ཕམ་པ
ཕམ་པར,ཕམ་པ
ཕལ་ཆེ་བའི,ཕལ་ཆེ་བ
ཕལ་ཆེ་བར,ཕལ་ཆེ་བ
ཕལ་ཆེ་བས,ཕལ་ཆེ་བ
ཕལ་པའི,ཕལ་པ
ཕལ་པར,ཕལ་པ
ཕུག་པའི,ཕུག་པ
ཕུད་པའི,ཕུད་པ
ཕུད་པས,ཕུད་པ
ཕུབ་པའི,ཕུབ་པ
ཕུབ་པར,ཕུབ་པ
ཕུར་བའི,ཕུར་བ
ཕུལ་བའི,ཕུལ་བ
ཕུལ་བར,ཕུལ་བ
ཕུལ་བས,ཕུལ་བ
ཕེབས་པའི,ཕེབས་པ
ཕེབས་པར,ཕེབས་པ
ཕོ་ཁའི,ཕོ་ཁ
ཕོ་ཉའི,ཕོ་ཉ
ཕོ་ཉར,ཕོ་ཉ
ཕོ་ཉས,ཕོ་ཉ
ཕོ་བའི,ཕོ་བ
ཕོ་བར,ཕོ་བ
ཕོ་བས,ཕོ་བ
ཕོ་ལྷའི,ཕོ་ལྷ
ཕོག་པའི,ཕོག་པ
ཕོག་པར,ཕོག་པ
ཕོངས་པའི,ཕོངས་པ
ཕོད་པའི,ཕོད་པ
ཕོར་པའི,ཕོར་པ
ཕོར་པས,ཕོར་པ
ཕྱག་རྒྱས,ཕྱག་རྒྱ
ཕྱད་པར,ཕྱད་པ
ཕྱི་པའི,ཕྱི་པ
ཕྱི་པར,ཕྱི་པ
ཕྱི་མའི,ཕྱི་མ
ཕྱི་མར,ཕྱི་མ
ཕྱི་མས,ཕྱི་མ
ཕྱི་རས,ཕྱི་ར
ཕྱི་སའི,ཕྱི་ས
ཕྱིན་པའི,ཕྱིན་པ
ཕྱིན་པར,ཕྱིན་པ
ཕྱིན་པས,ཕྱིན་པ
ཕྱུ་པའི,ཕྱུ་པ
ཕྱུགས་པས,ཕྱུགས་པ
ཕྱུགས་ལྷས,ཕྱུགས་ལྷ
ཕྱུང་བའི,ཕྱུང་བ
ཕྱུང་བར,ཕྱུང་བ
ཕྱུར་བའི,ཕྱུར་བ
ཕྱུར་བར,ཕྱུར་བ
ཕྱེ་བའི,ཕྱེ་བ
ཕྱེ་བར,ཕྱེ་བ
ཕྱེ་མར,ཕྱེ་མ
ཕྱེད་པར,ཕྱེད་པ
ཕྱེས་པའི,ཕྱེས་པ
ཕྱེས་པར,ཕྱེས་པ
ཕྱེས་པས,ཕྱེས་པ
ཕྱོགས་སྔས,ཕྱོགས་སྔ
ཕྱོགས་མཐར,ཕྱོགས་མཐའ
ཕྱོགས་པའི,ཕྱོགས་པ
ཕྱོགས་པར,ཕྱོགས་པ
ཕྲ་བའི,ཕྲ་བ
ཕྲ་བར,ཕྲ་བ
ཕྲག་པའི,ཕྲག་པ
ཕྲད་པའི,ཕྲད་པ
ཕྲུ་མའི,ཕྲུ་མ
ཕྲེང་བའི,ཕྲེང་བ
ཕྲེང་བར,ཕྲེང་བ
འཕགས་པའི,འཕགས་པ
འཕགས་པར,འཕགས་པ
འཕགས་པས,འཕགས་པ
འཕང་མའི,འཕང་མ
འཕངས་པའི,འཕངས་པ
འཕངས་པས,འཕངས་པ
འཕར་བའི,འཕར་བ
འཕར་བར,འཕར་བ
འཕར་མའི,འཕར་མ
འཕར་མར,འཕར་མ
འཕུར་བའི,འཕུར་བ
འཕུར་བར,འཕུར་བ
འཕུལ་བའི,འཕུལ་བ
འཕེན་པའི,འཕེན་པ
འཕེན་པར,འཕེན་པ
འཕེར་བའི,འཕེར་བ
འཕེལ་བའི,འཕེལ་བ
འཕེལ་བར,འཕེལ་བ
འཕེལ་བས,འཕེལ་བ
འཕོ་བར,འཕོ་བ
འཕོས་པའི,འཕོས་པ
འཕོས་པས,འཕོས་པ
འཕྱང་བས,འཕྱང་བ
འཕྱན་པའི,འཕྱན་པ
འཕྱར་བར,འཕྱར་བ
འཕྱི་བའི,འཕྱི་བ
འཕྱི་བས,འཕྱི་བ
འཕྱུགས་པའི,འཕྱུགས་པ
འཕྱུར་བའི,འཕྱུར་བ
འཕྱོ་བའི,འཕྱོ་བ
འཕྲད་པའི,འཕྲད་པ
འཕྲད་པར,འཕྲད་པ
འཕྲད་པས,འཕྲད་པ
འཕྲལ་མར,འཕྲལ་མ
འཕྲུལ་ཆས,འཕྲུལ་ཆ
འཕྲེང་བའི,འཕྲེང་བ
འཕྲེང་བར,འཕྲེང་བ
འཕྲོ་བའི,འཕྲོ་བ
འཕྲོ་བས,འཕྲོ་བ
འཕྲོག་པའི,འཕྲོག་པ
འཕྲོག་པར,འཕྲོག་པ
འཕྲོག་པས,འཕྲོག་པ
འཕྲོད་པའི,འཕྲོད་པ
འཕྲོད་པས,འཕྲོད་པ
འཕྲོས་པའི,འཕྲོས་པ
བག་མའི,བག་མ
བག་མར,བག་མ
བག་མས,བག་མ
བབ་པའི,བབ་པ
བབས་པའི,བབས་པ
བབས་པར,བབས་པ
བབས་པས,བབས་པ
བར་པའི,བར་པ
བར་པས,བར་པ
བར་མའི,བར་མ
བལ་མའི,བལ་མ
བས་མཐའི,བས་མཐའ
བུད་པའི,བུད་པ
བུད་པར,བུད་པ
བུད་པས,བུད་པ
བུམ་པའི,བུམ་པ
བཻ་རོ་ཙ་ནས,བཻ་རོ་ཙ་ན
བོར་བའི,བོར་བ
བོར་བར,བོར་བ
བོར་བས,བོར་བ
བྱ་ཁྲའི,བྱ་ཁྲ
བྱ་དགའི,བྱ་དགའ
བྱ་བའི,བྱ་བ
བྱ་བར,བྱ་བ
བྱ་བས,བྱ་བ
བྱང་བའི,བྱང་བ
བྱང་བར,བྱང་བ
བྱང་བས,བྱང་བ
བྱང་མའི,བྱང་མ
བྱད་ཁར,བྱད་ཁ
བྱམས་པའི,བྱམས་པ
བྱམས་པས,བྱམས་པ
བྱས་མཐར,བྱས་མཐའ
བྱས་པའི,བྱས་པ
བྱས་པར,བྱས་པ
བྱས་པས,བྱས་པ
བྱི་བའི,བྱི་བ
བྱི་ལས,བྱི་ལ
བྱིན་པའི,བྱིན་པ
བྱིན་པར,བྱིན་པ
བྱིས་པའི,བྱིས་པ
བྱིས་པར,བྱིས་པ
བྱིས་པས,བྱིས་པ
བྱུག་པའི,བྱུག་པ
བྱུགས་པའི,བྱུགས་པ
བྱུང་བའི,བྱུང་བ
བྱུང་བར,བྱུང་བ
བྱུང་བས,བྱུང་བ
བྱེ་མའི,བྱེ་མ
བྱེ་མར,བྱེ་མ
བྱེ་མས,བྱེ་མ
བྱེད་སྒྲའི,བྱེད་སྒྲ
བྱེད་པའི,བྱེད་པ
བྱེད་པར,བྱེད་པ
བྱེད་པས,བྱེད་པ
བྱོན་པའི,བྱོན་པ
བྱོན་པས,བྱོན་པ
བྲ་མའི,བྲ་མ
བྲག་ལས,བྲག་ལ
བྲན་པའི,བྲན་པ
བྲལ་བའི,བྲལ་བ
བྲལ་བར,བྲལ་བ
བྲལ་བས,བྲལ་བ
བྲི་བས,བྲི་བ
བྲིས་པའི,བྲིས་པ
བྲིས་པར,བྲིས་པ
བྲིས་པས,བྲིས་པ
བྲིས་མའི,བྲིས་མ
བྲེགས་པའི,བྲེགས་པ
བྲེལ་བའི,བྲེལ་བ
བྲེས་པའི,བྲེས་པ
བྲོ་བའི,བྲོ་བ
བྲོ་བས,བྲོ་བ
བྲོས་པའི,བྲོས་པ
བླ་མའི,བླ་མ
བླ་མར,བླ་མ
བླ་མས,བླ་མ
བླང་བའི,བླང་བ
བླང་བར,བླང་བ
བླངས་པའི,བླངས་པ
བླངས་པར,བླངས་པ
བླངས་པས,བླངས་པ
བླུག་པའི,བླུག་པ
བླུག་པས,བླུག་པ
བླུགས་པའི,བླུགས་པ
བླུགས་པར,བླུགས་པ
བླུགས་པས,བླུགས་པ
བླུན་པར,བླུན་པ
བླུས་པའི,བླུས་པ
དབང་ཆའི,དབང་ཆ
དབང་ཆར,དབང་ཆ
དབང་ཆས,དབང་ཆ
དབང་བའི,དབང་བ
དབང་བར,དབང་བ
དབང་བས,དབང་བ
དབབ་པའི,དབབ་པ
དབལ་ཚ་བའི,དབལ་ཚ་བ
དབུ་བླར,དབུ་བླ
དབུ་མ་པས,དབུ་མ་པ
དབུ་མའི,དབུ་མ
དབུར་བར,དབུར་བ
དབུལ་བའི,དབུལ་བ
དབུལ་བར,དབུལ་བ
དབུལ་བས,དབུལ་བ
དབུས་པའི,དབུས་པ
དབུས་མའི,དབུས་མ
དབེན་པའི,དབེན་པ
དབེན་པར,དབེན་པ
དབེན་པས,དབེན་པ
དབྱར་ཁའི,དབྱར་ཁ
དབྱར་ཁར,དབྱར་ཁ
དབྱར་རྔའི,དབྱར་རྔ
དབྱུག་པའི,དབྱུག་པ
དབྱུག་པས,དབྱུག་པ
དབྱུང་བར,དབྱུང་བ
དབྱེ་བའི,དབྱེ་བ
དབྱེ་བར,དབྱེ་བ
དབྱེ་བས,དབྱེ་བ
འབད་པར,འབད་པ
འབད་པས,འབད་པ
འབབ་པའི,འབབ་པ
འབབ་པར,འབབ་པ
འབབ་པས,འབབ་པ
འབབ་སའི,འབབ་ས
འབབ་སར,འབབ་ས
འབར་བའི,འབར་བ
འབར་བར,འབར་བ
འབུངས་པའི,འབུངས་པ
འབུར་བའི,འབུར་བ
འབུལ་བའི,འབུལ་བ
འབུལ་བར,འབུལ་བ
འབུལ་བས,འབུལ་བ
འབུས་པའི,འབུས་པ
འབུས་པས,འབུས་པ
འབེན་སར,འབེན་ས
འབེབས་པའི,འབེབས་པ
འབེལ་བའི,འབེལ་བ
འབོད་པའི,འབོད་པ
འབོད་པར,འབོད་པ
འབོད་པས,འབོད་པ
འབོར་བས,འབོར་བ
འབྱམས་པའི,འབྱམས་པ
འབྱར་བའི,འབྱར་བ
འབྱིན་པའི,འབྱིན་པ
འབྱིན་པར,འབྱིན་པ
འབྱུང་བའི,འབྱུང་བ
འབྱུང་བར,འབྱུང་བ
འབྱུང་བས,འབྱུང་བ
འབྱུང་རྩའི,འབྱུང་རྩ
འབྱོན་པའི,འབྱོན་པ
འབྱོན་པར,འབྱོན་པ
འབྱོར་པའི,འབྱོར་པ
འབྱོར་པས,འབྱོར་པ
འབྱོར་བའི,འབྱོར་བ
འབྱོར་བར,འབྱོར་བ
འབྱོར་བས,འབྱོར་བ
འབྲང་བའི,འབྲང་བ
འབྲངས་པའི,འབྲངས་པ
འབྲངས་པར,འབྲངས་པ
འབྲལ་བར,འབྲལ་བ
འབྲི་གུང་བས,འབྲི་གུང་བ
འབྲི་བའི,འབྲི་བ
འབྲི་བར,འབྲི་བ
འབྲིང་བའི,འབྲིང་བ
འབྲིང་བས,འབྲིང་བ
འབྲུ་སྣའི,འབྲུ་སྣ
འབྲུག་སྒྲའི,འབྲུག་སྒྲ
འབྲུག་པའི,འབྲུག་པ
འབྲུག་པར,འབྲུག་པ
འབྲུག་པས,འབྲུག་པ
འབྲེལ་སྒྲའི,འབྲེལ་སྒྲ
འབྲེལ་བའི,འབྲེལ་བ
འབྲེལ་བར,འབྲེལ་བ
འབྲེལ་བས,འབྲེལ་བ
འབྲོག་པའི,འབྲོག་པ
འབྲོག་པས,འབྲོག་པ
འབྲོག་སར,འབྲོག་ས
སྦ་བའི,སྦ་བ
སྦང་མའི,སྦང་མ
སྦང་མས,སྦང་མ
སྦངས་པར,སྦངས་པ
སྦར་བའི,སྦར་བ
སྦས་པའི,སྦས་པ
སྦེད་པའི,སྦེད་པ
སྦོམ་པའི,སྦོམ་པ
སྦོམ་པས,སྦོམ་པ
སྦོམ་ཕྲར,སྦོམ་ཕྲ
སྦྱང་བའི,སྦྱང་བ
སྦྱང་བྱའི,སྦྱང་བྱ
སྦྱང་བྱས,སྦྱང་བྱ
སྦྱངས་པའི,སྦྱངས་པ
སྦྱངས་པར,སྦྱངས་པ
སྦྱངས་པས,སྦྱངས་པ
སྦྱར་ཁར,སྦྱར་ཁ
སྦྱར་པའི,སྦྱར་པ
སྦྱར་བའི,སྦྱར་བ
སྦྱར་བར,སྦྱར་བ
སྦྱར་བས,སྦྱར་བ
སྦྱིན་པའི,སྦྱིན་པ
སྦྱིན་པར,སྦྱིན་པ
སྦྱིན་པས,སྦྱིན་པ
སྦྱོང་བའི,སྦྱོང་བ
སྦྱོང་བར,སྦྱོང་བ
སྦྱོར་བའི,སྦྱོར་བ
སྦྱོར་བར,སྦྱོར་བ
སྦྱོར་བས,སྦྱོར་བ
སྦྲགས་པའི,སྦྲགས་པ
སྦྲགས་མར,སྦྲགས་མ
སྦྲུམ་པའི,སྦྲུམ་པ
སྦྲུམ་མའི,སྦྲུམ་མ
སྦྲུམ་མར,སྦྲུམ་མ
སྦྲུམ་མས,སྦྲུམ་མ
སྦྲུས་པའི,སྦྲུས་པ
སྦྲེལ་བའི,སྦྲེལ་བ
སྦྲེལ་བར,སྦྲེལ་བ
སྦྲེལ་མའི,སྦྲེལ་མ
མ་འཁྲུལ་བས,མ་འཁྲུལ་བ
མ་གྲུབ་པར,མ་གྲུབ་པ
མ་གྲུབ་པས,མ་གྲུབ་པ
མ་ངེས་པའི,མ་ངེས་པ
མ་ངེས་པས,མ་ངེས་པ
མ་བཅོས་པར,མ་བཅོས་པ
མ་ཆགས་པའི,མ་ཆགས་པ
མ་ཆགས་པར,མ་ཆགས་པ
མ་ཉེས་པའི,མ་ཉེས་པ
མ་ཐོགས་པར,མ་ཐོགས་པ
མ་མཐའི,མ་མཐའ
མ་མཐར,མ་མཐའ
མ་བྱུང་བའི,མ་བྱུང་བ
མ་བྱུང་བར,མ་བྱུང་བ
མ་བྱུང་བས,མ་བྱུང་བ
མ་རྩའི,མ་རྩ
མ་འོངས་པའི,མ་འོངས་པ
མ་འོངས་པར,མ་འོངས་པ
མ་ཡིན་པའི,མ་ཡིན་པ
མ་ཡིན་པར,མ་ཡིན་པ
མ་ཡིན་པས,མ་ཡིན་པ
མ་རངས་པའི,མ་རངས་པ
མ་རངས་པར,མ་རངས་པ
མ་ལས,མ་ལ
མ་ལུས་པའི,མ་ལུས་པ
མ་ལུས་པར,མ་ལུས་པ
མ་ལུས་པས,མ་ལུས་པ
མག་པར,མག་པ
མང་ཆེ་བའི,མང་ཆེ་བ
མང་ཆེ་བར,མང་ཆེ་བ
མང་ཆེ་བས,མང་ཆེ་བ
མང་བའི,མང་བ
མང་བར,མང་བ
མང་བས,མང་བ
མང་རའི,མང་ར
མར་གདར,མར་གད
མར་པས,མར་པ
མི་སྐྱའི,མི་སྐྱ
མི་ཁོམ་པའི,མི་ཁོམ་པ
མི་དགེ་བའི,མི་དགེ་བ
མི་འགལ་བའི,མི་འགལ་བ
མི་འགལ་བར,མི་འགལ་བ
མི་འགྱུར་བའི,མི་འགྱུར་བ
མི་འགྱུར་བར,མི་འགྱུར་བ
མི་འགྱུར་བས,མི་འགྱུར་བ
མི་མངོན་པའི,མི་མངོན་པ
མི་མངོན་པར,མི་མངོན་པ
མི་ཆུང་བར,མི་ཆུང་བ
མི་ཆེ་བའི,མི་ཆེ་བ
མི་འཆད་པར,མི་འཆད་པ
མི་མཉམ་པའི,མི་མཉམ་པ
མི་ལྟ་བར,མི་ལྟ་བ
མི་མཐུན་པའི,མི་མཐུན་པ
མི་མཐུན་པར,མི་མཐུན་པ
མི་མཐུན་པས,མི་མཐུན་པ
མི་འདས,མི་འདའ
མི་འདོད་པའི,མི་འདོད་པ
མི་འདོད་པར,མི་འདོད་པ
མི་སྣང་བའི,མི་སྣང་བ
མི་སྣང་བར,མི་སྣང་བ
མི་སྣང་བས,མི་སྣང་བ
མི་སྣའི,མི་སྣ
མི་སྣར,མི་སྣ
མི་སྣས,མི་སྣ
མི་གཙང་བའི,མི་གཙང་བ
མི་གཙང་བས,མི་གཙང་བ
མི་གཡོ་བའི,མི་གཡོ་བ
མི་གཡོ་བར,མི་གཡོ་བ
མི་ལ་རས་པའི,མི་ལ་རས་པ
མི་ལ་རས་པས,མི་ལ་རས་པ
མི་ལའི,མི་ལ
མི་ཤར,མི་ཤ
མི་སློབ་པའི,མི་སློབ་པ
མིག་དམར,མིག་དམའ
མིང་མཐའི,མིང་མཐའ
མིང་མཐར,མིང་མཐའ
མིང་བརྡའི,མིང་བརྡ
མིད་པའི,མིད་པ
མིད་པར,མིད་པ
མིན་པའི,མིན་པ
མིན་པར,མིན་པ
མིན་པས,མིན་པ
མུ་ཁར,མུ་ཁ
མུན་པའི,མུན་པ
མུན་པས,མུན་པ
མེ་མདའི,མེ་མདའ
མེ་བཙའི,མེ་བཙའ
མེད་པའི,མེད་པ
མེད་པར,མེད་པ
མེད་པས,མེད་པ
མོ་པྲའི,མོ་པྲ
མོ་མས,མོ་མ
མོ་ལས,མོ་ལ
མོད་པའི,མོད་པ
མོད་པར,མོད་པ
མོས་པའི,མོས་པ
མོས་པར,མོས་པ
མྱ་ངན་ཞུ་བའི,མྱ་ངན་ཞུ་བ
མྱ་ངན་ཞུ་བར,མྱ་ངན་ཞུ་བ
མྱང་བའི,མྱང་བ
མྱངས་པའི,མྱངས་པ
མྱུར་བའི,མྱུར་བ
མྱུར་བར,མྱུར་བ
མྱུར་བས,མྱུར་བ
མྱུལ་བའི,མྱུལ་བ
མྱོང་བའི,མྱོང་བ
མྱོང་བར,མྱོང་བ
མྱོང་བས,མྱོང་བ
དམན་པའི,དམན་པ
དམན་པར,དམན་པ
དམན་པས,དམན་པ
དམའ་བའི,དམའ་བ
དམའ་བར,དམའ་བ
དམའ་སའི,དམའ་ས
དམར་བའི,དམར་བ
དམར་བས,དམར་བ
དམིགས་པའི,དམིགས་པ
དམྱལ་བའི,དམྱལ་བ
དམྱལ་བར,དམྱལ་བ
རྨ་ཁར,རྨ་ཁ
རྨ་བྱའི,རྨ་བྱ
རྨས་མར,རྨས་མ
རྨིག་པས,རྨིག་པ
རྨེ་བའི,རྨེ་བ
རྨོངས་པའི,རྨོངས་པ
རྨོངས་པར,རྨོངས་པ
རྨོངས་པས,རྨོངས་པ
རྨོས་པའི,རྨོས་པ
སྨད་རྒྱུད་པའི,སྨད་རྒྱུད་པ
སྨད་པར,སྨད་པ
སྨད་པས,སྨད་པ
སྨན་སྣའི,སྨན་སྣ
སྨན་པའི,སྨན་པ
སྨན་པར,སྨན་པ
སྨན་པས,སྨན་པ
སྨན་བླའི,སྨན་བླ
སྨིན་པའི,སྨིན་པ
སྨིན་པར,སྨིན་པ
སྨིན་པས,སྨིན་པ
སྨིན་མའི,སྨིན་མ
སྨུག་པའི,སྨུག་པ
སྨེ་བའི,སྨེ་བ
སྨོན་པའི,སྨོན་པ
སྨོས་པའི,སྨོས་པ
སྨྱུག་མའི,སྨྱུག་མ
སྨྱོན་པའི,སྨྱོན་པ
སྨྱོན་པར,སྨྱོན་པ
སྨྲ་བའི,སྨྲ་བ
སྨྲ་བར,སྨྲ་བ
སྨྲ་བས,སྨྲ་བ
སྨྲས་པའི,སྨྲས་པ
སྨྲས་པས,སྨྲས་པ
སྨྲེང་བའི,སྨྲེང་བ
སྨྲེང་བས,སྨྲེང་བ
ཙ་ནས,ཙ་ན
ཙམ་པོ་བའི,ཙམ་པོ་བ
གཙང་པས,གཙང་པ
གཙང་བའི,གཙང་བ
གཙང་བར,གཙང་བ
གཙང་བས,གཙང་བ
གཙང་སྦྲའི,གཙང་སྦྲ
གཙང་སྦྲར,གཙང་སྦྲ
གཙང་སྦྲས,གཙང་སྦྲ
གཙང་མའི,གཙང་མ
གཙང་མར,གཙང་མ
གཙང་མས,གཙང་མ
གཙེས་པའི,གཙེས་པ
གཙེས་པས,གཙེས་པ
བཙག་པའི,བཙག་པ
བཙགས་པའི,བཙགས་པ
བཙགས་པར,བཙགས་པ
བཙན་པའི,བཙན་པ
བཙལ་བའི,བཙལ་བ
བཙལ་བར,བཙལ་བ
བཙལ་བས,བཙལ་བ
བཙས་པའི,བཙས་པ
བཙིར་བའི,བཙིར་བ
བཙིར་བས,བཙིར་བ
བཙུགས་པའི,བཙུགས་པ
བཙུགས་པར,བཙུགས་པ
བཙུགས་པས,བཙུགས་པ
བཙུན་པའི,བཙུན་པ
བཙུན་མའི,བཙུན་མ
བཙོ་བའི,བཙོ་བ
བཙོག་པར,བཙོག་པ
བཙོང་བའི,བཙོང་བ
བཙོན་རར,བཙོན་ར
བཙོས་པའི,བཙོས་པ
བཙོས་པར,བཙོས་པ
བཙོས་པས,བཙོས་པ
རྩ་བའི,རྩ་བ
རྩ་བར,རྩ་བ
རྩ་རས,རྩ་ར
རྩམ་པའི,རྩམ་པ
རྩི་བའི,རྩི་བ
རྩི་མར,རྩི་མ
རྩིག་པའི,རྩིག་པ
རྩིད་པའི,རྩིད་པ
རྩིས་པའི,རྩིས་པ
རྩིས་པས,རྩིས་པ
རྩུབ་པའི,རྩུབ་པ
རྩེ་གྲས,རྩེ་གྲ
རྩེ་བའི,རྩེ་བ
རྩེན་པའི,རྩེན་པ
རྩེར་སོན་པའི,རྩེར་སོན་པ
རྩོད་གྲྭའི,རྩོད་གྲྭ
རྩོད་པའི,རྩོད་པ
རྩོད་པར,རྩོད་པ
རྩོད་པས,རྩོད་པ
རྩོམ་པའི,རྩོམ་པ
རྩོམ་པར,རྩོམ་པ
རྩོལ་བའི,རྩོལ་བ
རྩོལ་བར,རྩོལ་བ
རྩྭ་རའི,རྩྭ་ར
རྩྭ་རར,རྩྭ་ར
རྩྭ་རས,རྩྭ་ར
སྩལ་བའི,སྩལ་བ
སྩལ་བར,སྩལ་བ
སྩོལ་བའི,སྩོལ་བ
བརྩམ་པའི,བརྩམ་པ
བརྩམས་པའི,བརྩམས་པ
བརྩམས་པར,བརྩམས་པ
བརྩམས་པས,བརྩམས་པ
བརྩི་བའི,བརྩི་བ
བརྩི་བར,བརྩི་བ
བརྩི་བས,བརྩི་བ
བརྩིགས་པའི,བརྩིགས་པ
བརྩིས་པའི,བརྩིས་པ
བརྩེ་བའི,བརྩེ་བ
བརྩེ་བས,བརྩེ་བ
བརྩེགས་པའི,བརྩེགས་པ
བརྩེགས་པས,བརྩེགས་པ
བརྩེགས་མའི,བརྩེགས་མ
བརྩེགས་མར,བརྩེགས་མ
བརྩོན་པའི,བརྩོན་པ
བརྩོན་པས,བརྩོན་པ
བསྩལ་བའི,བསྩལ་བ
བསྩལ་བར,བསྩལ་བ
