ཀ་ཀོ་ལའི,ཀ་ཀོ་ལ
གྲུབ་མཐར,གྲུབ་མཐའ
གྲུབ་པའི,གྲུབ་པ
གྲུབ་པར,གྲུབ་པ
གྲུབ་པས,གྲུབ་པ
གྲོ་མའི,གྲོ་མ
གྲོག་མའི,གྲོག་མ
གྲོང་པའི,གྲོང་པ
གྲོང་པས,གྲོང་པ
གྲོངས་པས,གྲོངས་པ
གྲོད་པའི,གྲོད་པ
གྲོད་པར,གྲོད་པ
གྲོལ་བའི,གྲོལ་བ
གྲོལ་བར,གྲོལ་བ
གླང་དར་མའི,གླང་དར་མ
གླང་དར་མར,གླང་དར་མ
གླང་དར་མས,གླང་དར་མ
གླང་མའི,གླང་མ
གླང་མར,གླང་མ
གླིང་ཁར,གླིང་ཁ
གླིང་གའི,གླིང་ག
གླིང་གར,གླིང་ག
གླིང་མའི,གླིང་མ
གླུ་པའི,གླུ་པ
གླུ་མའི,གླུ་མ
གླུ་མས,གླུ་མ
གླེང་བའི,གླེང་བ
གླེང་བར,གླེང་བ
གླེང་བས,གླེང་བ
གླེན་པའི,གླེན་པ
གློ་བའི,གློ་བ
གློ་བར,གློ་བ
གློག་པར,གློག་པ
དགག་པའི,དགག་པ
དགག་པས,དགག་པ
དགག་བྱའི,དགག་བྱ
དགའ་བའི,དགའ་བ
དགའ་བར,དགའ་བ
དགའ་བས,དགའ་བ
དགར་བའི,དགར་བ
དགར་བར,དགར་བ
དགུ་པའི,དགུ་པ
དགུ་པར,དགུ་པ
དགུ་བའི,དགུ་བ
དགུ་བར,དགུ་བ
དགུན་ཁའི,དགུན་ཁ
དགུན་ཁར,དགུན་ཁ
དགུན་སའི,དགུན་ས
དགེ་བའི,དགེ་བ
དགེ་བར,དགེ་བ
དགེ་རྩའི,དགེ་རྩ
དགེ་ཚུལ་མར,དགེ་ཚུལ་མ
དགོངས་པའི,དགོངས་པ
དགོངས་པར,དགོངས་པ
དགོད་པའི,དགོད་པ
དགོད་པར,དགོད་པ
དགོན་པའི,དགོན་པ
དགོན་པར,དགོན་པ
དགོན་པས,དགོན་པ
དགོས་པའི,དགོས་པ
དགོས་པར,དགོས་པ
དགོས་པས,དགོས་པ
དགྱེས་པའི,དགྱེས་པ
དགྱེས་པར,དགྱེས་པ
དགྲ་ཟླར,དགྲ་ཟླ
དགྲ་ལྷའི,དགྲ་ལྷ
བགོ་བའི,བགོ་བ
བགོ་བར,བགོ་བ
བགོས་པའི,བགོས་པ
བགོས་པར,བགོས་པ
བགྱིད་པའི,བགྱིད་པ
བགྱིས་པའི,བགྱིས་པ
བགྱིས་པར,བགྱིས་པ
བགྲང་བའི,བགྲང་བ
བགྲང་བར,བགྲང་བ
བགྲོ་བར,བགྲོ་བ
བགྲོད་པའི,བགྲོད་པ
བགྲོད་པར,བགྲོད་པ
མགོ་འཁོར་བས,མགོ་འཁོར་བ
མགྱོགས་པའི,མགྱོགས་པ
མགྱོགས་པར,མགྱོགས་པ
མགྱོགས་པས,མགྱོགས་པ
མགྲིན་པའི,མགྲིན་པ
མགྲིན་པར,མགྲིན་པ
འགག་པར,འགག་པ
འགག་རྩའི,འགག་རྩ
འགགས་པར,འགགས་པ
འགལ་བའི,འགལ་བ
འགལ་བར,འགལ་བ
འགལ་བས,འགལ་བ
འགལ་ཟླའི,འགལ་ཟླ
འགལ་ཟླར,འགལ་ཟླ
འགུགས་པའི,འགུགས་པ
འགུལ་བའི,འགུལ་བ
འགུལ་བས,འགུལ་བ
འགེལ་བའི,འགེལ་བ
འགོ་པར,འགོ་པ
འགོ་བའི,འགོ་བ
འགོ་བར,འགོ་བ
འགོ་བས,འགོ་བ
འགོག་པའི,འགོག་པ
འགོག་པར,འགོག་པ
འགོག་པས,འགོག་པ
འགོད་པའི,འགོད་པ
འགོད་པར,འགོད་པ
འགོད་པས,འགོད་པ
འགོར་བའི,འགོར་བ
འགོར་བར,འགོར་བ
འགོར་བས,འགོར་བ
འགོས་པའི,འགོས་པ
འགྱིང་བའི,འགྱིང་བ
འགྱུ་བའི,འགྱུ་བ
འགྱུར་བའི,འགྱུར་བ
འགྱུར་བར,འགྱུར་བ
འགྱུར་བས,འགྱུར་བ
འགྱེད་པའི,འགྱེད་པ
འགྱོག་པར,འགྱོག་པ
འགྱོད་པའི,འགྱོད་པ
འགྲང་བར,འགྲང་བ
འགྲངས་པས,འགྲངས་པ
འགྲན་པའི,འགྲན་པ
འགྲན་པར,འགྲན་པ
འགྲན་ཟླའི,འགྲན་ཟླ
འགྲམ་པར,འགྲམ་པ
འགྲིག་པའི,འགྲིག་པ
འགྲིག་པར,འགྲིག་པ
འགྲིགས་པའི,འགྲིགས་པ
འགྲིབ་པར,འགྲིབ་པ
འགྲིམ་པའི,འགྲིམ་པ
འགྲིམས་པའི,འགྲིམས་པ
འགྲིལ་བའི,འགྲིལ་བ
འགྲུབ་པའི,འགྲུབ་པ
འགྲུབ་པར,འགྲུབ་པ
འགྲུལ་པའི,འགྲུལ་པ
འགྲེང་བའི,འགྲེང་བ
འགྲེངས་པར,འགྲེངས་པ
འགྲེལ་པའི,འགྲེལ་པ
འགྲེལ་པར,འགྲེལ་པ
འགྲེལ་པས,འགྲེལ་པ
འགྲོ་ཁར,འགྲོ་ཁ
འགྲོ་བའི,འགྲོ་བ
འགྲོ་བར,འགྲོ་བ
འགྲོ་བས,འགྲོ་བ
འགྲོ་སའི,འགྲོ་ས
འགྲོས་མའི,འགྲོས་མ
རྒན་པའི,རྒན་པ
རྒན་པར,རྒན་པ
རྒལ་བའི,རྒལ་བ
རྒས་པའི,རྒས་པ
རྒུད་པའི,རྒུད་པ
རྒུད་པར,རྒུད་པ
རྒོད་པའི,རྒོད་པ
རྒོད་མའི,རྒོད་མ
རྒོལ་བའི,རྒོལ་བ
རྒོལ་བར,རྒོལ་བ
རྒོལ་བས,རྒོལ་བ
རྒྱ་གྲོ་མའི,རྒྱ་གྲོ་མ
རྒྱ་ཆེ་བའི,རྒྱ་ཆེ་བ
རྒྱ་ཆེ་བར,རྒྱ་ཆེ་བ
རྒྱ་མདའི,རྒྱ་མདའ
རྒྱ་མའི,རྒྱ་མ
རྒྱག་པའི,རྒྱག་པ
རྒྱག་པར,རྒྱག་པ
རྒྱན་ཆའི,རྒྱན་ཆ
རྒྱན་ཆས,རྒྱན་ཆ
རྒྱབ་རྩར,རྒྱབ་རྩ
རྒྱལ་ཁའི,རྒྱལ་ཁ
རྒྱལ་བའི,རྒྱལ་བ
རྒྱལ་བར,རྒྱལ་བ
རྒྱལ་བས,རྒྱལ་བ
རྒྱལ་སའི,རྒྱལ་ས
རྒྱལ་སར,རྒྱལ་ས
རྒྱས་པའི,རྒྱས་པ
རྒྱས་པར,རྒྱས་པ
རྒྱས་པས,རྒྱས་པ
རྒྱུ་ཆའི,རྒྱུ་ཆ
རྒྱུ་ཆར,རྒྱུ་ཆ
རྒྱུ་ཆས,རྒྱུ་ཆ
རྒྱུ་བའི,རྒྱུ་བ
རྒྱུ་བར,རྒྱུ་བ
རྒྱུ་མར,རྒྱུ་མ
རྒྱུ་ལས,རྒྱུ་ལ
རྒྱུག་ཆེ་བའི,རྒྱུག་ཆེ་བ
རྒྱུག་རྟའི,རྒྱུག་རྟ
རྒྱུག་པའི,རྒྱུག་པ
རྒྱུགས་པའི,རྒྱུགས་པ
རྒྱུད་པའི,རྒྱུད་པ
རྒྱུད་པས,རྒྱུད་པ
རྒྱུད་བླ་མའི,རྒྱུད་བླ་མ
རྒྱུན་པར,རྒྱུན་པ
རྒྱོང་བར,རྒྱོང་བ
སྒབ་པའི,སྒབ་པ
སྒལ་པར,སྒལ་པ
སྒུལ་བའི,སྒུལ་བ
སྒུལ་བར,སྒུལ་བ
སྒོ་ཁའི,སྒོ་ཁ
སྒོ་ཁར,སྒོ་ཁ
སྒོ་རའི,སྒོ་ར
སྒོང་བའི,སྒོང་བ
སྒོམ་པའི,སྒོམ་པ
སྒོམ་པར,སྒོམ་པ
སྒོམ་པས,སྒོམ་པ
སྒྱིད་པའི,སྒྱིད་པ
སྒྱུ་མའི,སྒྱུ་མ
སྒྱུ་མར,སྒྱུ་མ
སྒྱུ་མས,སྒྱུ་མ
སྒྱུར་བའི,སྒྱུར་བ
སྒྱུར་བར,སྒྱུར་བ
སྒྲིག་པའི,སྒྲིག་པ
སྒྲིག་པར,སྒྲིག་པ
སྒྲུང་པར,སྒྲུང་པ
སྒྲུང་བའི,སྒྲུང་བ
སྒྲུབ་གྲྭར,སྒྲུབ་གྲྭ
སྒྲུབ་པའི,སྒྲུབ་པ
སྒྲུབ་པར,སྒྲུབ་པ
སྒྲུབ་པས,སྒྲུབ་པ
སྒྲེང་བའི,སྒྲེང་བ
སྒྲོག་པའི,སྒྲོག་པ
སྒྲོག་པར,སྒྲོག་པ
སྒྲོན་པའི,སྒྲོན་པ
སྒྲོན་པར,སྒྲོན་པ
སྒྲོལ་མའི,སྒྲོལ་མ
སྒྲོལ་མར,སྒྲོལ་མ
སྒྲོལ་མས,སྒྲོལ་མ
བརྒལ་བའི,བརྒལ་བ
བརྒལ་བར,བརྒལ་བ
བརྒལ་བས,བརྒལ་བ
བརྒྱ་ཆའི,བརྒྱ་ཆ
བརྒྱ་རྩའི,བརྒྱ་རྩ
བརྒྱངས་པའི,བརྒྱངས་པ
བརྒྱན་པའི,བརྒྱན་པ
བརྒྱན་པས,བརྒྱན་པ
བརྒྱབ་པའི,བརྒྱབ་པ
བརྒྱབ་པས,བརྒྱབ་པ
བརྒྱལ་བར,བརྒྱལ་བ
བརྒྱུགས་པའི,བརྒྱུགས་པ
བརྒྱུད་པའི,བརྒྱུད་པ
བརྒྱུད་པར,བརྒྱུད་པ
བརྒྱུད་པས,བརྒྱུད་པ
བརྒྱུས་པའི,བརྒྱུས་པ
བརྒྱུས་པས,བརྒྱུས་པ
བསྒུལ་བའི,བསྒུལ་བ
བསྒོམས་པས,བསྒོམས་པ
བསྒོས་པའི,བསྒོས་པ
བསྒྱུར་པའི,བསྒྱུར་པ
བསྒྱུར་པས,བསྒྱུར་པ
བསྒྱུར་བའི,བསྒྱུར་བ
བསྒྱུར་བར,བསྒྱུར་བ
བསྒྱུར་བས,བསྒྱུར་བ
བསྒྲགས་པའི,བསྒྲགས་པ
བསྒྲགས་པས,བསྒྲགས་པ
བསྒྲལ་བར,བསྒྲལ་བ
བསྒྲིགས་པའི,བསྒྲིགས་པ
བསྒྲིགས་པར,བསྒྲིགས་པ
བསྒྲིགས་པས,བསྒྲིགས་པ
